ean,descricao,marca,conteudo,origem,autorizacao,enviado_por,imagem
7896581357984,PAO DE ALHO PIF PAF 300GR TRAD.C.QU,Pif Paf,300 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581357984.webp
7896581358080,FRANGO PASSARINHO PIF PAF PC 700GR,Pif Paf,700 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581358080.webp
7896581358509,EMPANADO PIF PAF 1KG PAFITOS,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581358509.webp
7896581358523,TIRINHA PIF PAF EMPANADAS 1KG,Pif Paf,1 kg,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581358523.webp
7896581358660,MORTADELA PIF PAF 400GR FRANGO,Pif Paf,400 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581358660.webp
7896581359001,FILE DE PEITO PIF PAF IQF 700G BIFE,Pif Paf,700 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581359001.webp
7896581359162,PAO DE ALHO PIF PAF 300GR PICANTE,Pif Paf,300 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581359162.webp
7896581359179,TIRINHA FLIP FRANGO 1.5KG,,"1,5 kg",industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581359179.webp
7896581359254,COXINHA ASA PIF PAF IQF 700G TEMP,Pif Paf,700 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581359254.webp
7896581359704,MEIO DA ASA TEMP.IQF PIF PAF 700G,Pif Paf,700 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581359704.webp
7896581359728,ALIM.CAO U.MASTIGATE 100G AD.FRANGO,,100 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581359728.webp
7896581359735,ALIM.CAO U.MASTIGATE 100G AD.CARNE,,100 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581359735.webp
7896581359902,PEIXE DESF.SAITHE SC 300GR POLACA,,300 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7896581/7896581359902.webp
7897177401258,SALAME PIF PAF ITALIANO ART.FAT.90G,Pif Paf,90 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7897177/7897177401258.webp
7897177454032,BACON DEFUMADO PIF PAF 200GR CUBOS,Pif Paf,200 g,industria,"Pif Paf, portal PackShelf para clientes",Rede Valente,imagens/7897177/7897177454032.webp
7897398200302,CLORO GEL MAGICO MAYOR 2LT,,2 L,a confirmar,,Rede Valente,imagens/7897398/7897398200302.webp
7897398200821,LIMP.MAYOR CLEAN 2LT LIMPEZA PROFU.,,2 L,a confirmar,,Rede Valente,imagens/7897398/7897398200821.webp
7897398200869,DESINF.MAYOR FLORAL 1LT TALCO,,1 L,a confirmar,,Rede Valente,imagens/7897398/7897398200869.webp
7897398200890,DESINF.MAYOR 1LT PINHO,,1 L,a confirmar,,Rede Valente,imagens/7897398/7897398200890.webp
7897398201248,LIMP.LIMPE MAIS MAYOR 2LT PET FLOR.,,2 L,a confirmar,,Rede Valente,imagens/7897398/7897398201248.webp
7897540700001,MAC.BARBALHO SEMOLA 500GR ESPAG.N8,,500 g,a confirmar,,Rede Valente,imagens/7897540/7897540700001.webp
7897540700049,FEIJAO PRETO BARBALHO SC 1KG,,1 kg,a confirmar,,Rede Valente,imagens/7897540/7897540700049.webp
7897540700070,FEIJAO CARIOCA GOVAL SC 1KG,,1 kg,a confirmar,,Rede Valente,imagens/7897540/7897540700070.webp
7897540700186,FEIJAO VERMELHO BARBALHO SC 1KG,,1 kg,a confirmar,,Rede Valente,imagens/7897540/7897540700186.webp
7897540700193,MAC.BARBALHO C.OVOS 500GR ESPAG.N8,,500 g,a confirmar,,Rede Valente,imagens/7897540/7897540700193.webp
7897540700209,MAC.BARBALHO C.OVOS 500GR PAD.NOSSO,,500 g,a confirmar,,Rede Valente,imagens/7897540/7897540700209.webp
7897540700216,MAC.BARBALHO C.OVOS 500GR PARAFUSO,,500 g,a confirmar,,Rede Valente,imagens/7897540/7897540700216.webp
7897540700223,ARROZ BARBALHO TP1 5KG,,5 kg,a confirmar,,Rede Valente,imagens/7897540/7897540700223.webp
7897540700513,FARINHA MAND.BARBALHO PC 1KG BR,,1 kg,a confirmar,,Rede Valente,imagens/7897540/7897540700513.webp
7898215151760,LEITE L.V.PIRAC.1LT SEMI DESNATADO/DESNATADO,,1 L,a confirmar,,Rede Valente,imagens/7898215/7898215151760.webp
